receive_ts;exchange_ts;price;quantity;side;rebuild
1770656944933436;1770656944930164;913725.38299291;15.43080351;bid;1
1770656944930828;1770656944930202;813416.21882447;4.97446860;ask;0
1770656944932363;1770656944930210;768760.11567887;13.08232216;ask;1
1770656944930394;1770656944930215;732065.43097800;15.00312816;bid;1
1770656944933260;1770656944930220;587459.43364938;17.04274389;ask;1
1770656944932583;1770656944930224;930557.31764573;16.27955671;ask;0
1770656944934161;1770656944930227;518.85798029;4.46427079;ask;0
1770656944932340;1770656944930231;120950.17433956;1.24953380;bid;0
1770656944932226;1770656944930235;36403.11967539;18.09700831;bid;0
1770656944930444;1770656944930238;312013.90235153;11.00963846;bid;0
1770656944931060;1770656944930242;600554.14201850;13.58322307;bid;0
1770656944934753;1770656944930246;642564.72928393;2.93516621;ask;0
1770656944931910;1770656944930250;845497.08168225;14.06740411;ask;1
1770656944930893;1770656944930253;620633.40960830;15.18650651;bid;1
1770656944930643;1770656944930257;496297.84164230;1.49173143;ask;0
1770656944932032;1770656944930260;822337.67038918;8.47627215;ask;1
1770656944931011;1770656944930264;450915.10838864;3.48560220;bid;0
1770656944934326;1770656944930268;265368.07451139;9.49813657;ask;1
1770656944933352;1770656944930272;887821.01780607;13.92406549;ask;1
1770656944932662;1770656944930276;875894.41424393;4.30477133;bid;1
1770656944934901;1770656944930281;408962.85875947;3.36582710;bid;1
1770656944934669;1770656944930285;857350.89935547;10.79570666;ask;1
1770656944934576;1770656944930289;700989.92485642;5.67669063;ask;1
1770656944934800;1770656944930292;715898.19873439;0.44827121;bid;1
1770656944934161;1770656944930297;728344.03555235;14.70369829;bid;1
1770656944935074;1770656944930300;398549.89923903;18.03615130;bid;1
1770656944930600;1770656944930304;568225.34451733;9.27687780;ask;0
1770656944932457;1770656944930308;329957.81201083;9.56748324;bid;1
1770656944931012;1770656944930312;669175.67248297;0.76438273;bid;1
1770656944933489;1770656944930316;504515.13142077;16.47640343;ask;0
1770656944932405;1770656944930319;227705.76118553;3.26675918;ask;1
1770656944934996;1770656944930323;421334.32807417;8.09597737;bid;0
1770656944931017;1770656944930327;141144.63978709;3.57851683;ask;1
